CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
0.040166,0.400000,0.400000,0.266847,0.267096,0.267111,0.266783,0.266789,
0.100464,0.400000,0.400000,0.296111,0.296361,0.296377,0.296048,0.296044,
0.147513,0.400000,0.400000,0.309787,0.310038,0.310056,0.309731,0.309726,
0.115965,0.400000,0.400000,0.289648,0.289897,0.289913,0.289595,0.289597,
0.048775,0.400000,0.400000,0.261964,0.262210,0.262226,0.261907,0.261915,
0.039893,0.400000,0.400000,0.266741,0.266990,0.267006,0.266678,0.266684,
0.100175,0.400000,0.400000,0.296009,0.296259,0.296275,0.295946,0.295943,
0.147294,0.400000,0.400000,0.309728,0.309977,0.309995,0.309670,0.309665,
0.115835,0.400000,0.400000,0.289618,0.289865,0.289883,0.289564,0.289567,
0.048790,0.400000,0.400000,0.261976,0.262222,0.262239,0.261920,0.261928,
0.039882,0.400000,0.400000,0.266733,0.266982,0.266997,0.266670,0.266676,
0.100139,0.400000,0.400000,0.296003,0.296252,0.296268,0.295940,0.295937,
0.147297,0.400000,0.400000,0.309740,0.309990,0.310007,0.309683,0.309678,
0.115884,0.400000,0.400000,0.289638,0.289885,0.289903,0.289584,0.289587,
0.048664,0.400000,0.400000,0.261920,0.262167,0.262183,0.261864,0.261873,
0.039673,0.400000,0.400000,0.266650,0.266898,0.266914,0.266586,0.266593,
0.099890,0.400000,0.400000,0.295909,0.296158,0.296174,0.295846,0.295843,
0.147129,0.400000,0.400000,0.309696,0.309946,0.309962,0.309639,0.309633,
0.115796,0.400000,0.400000,0.289623,0.289871,0.289888,0.289569,0.289572,
0.048560,0.400000,0.400000,0.261889,0.262136,0.262153,0.261833,0.261842,
0.039499,0.400000,0.400000,0.266583,0.266832,0.266848,0.266520,0.266526,
0.099702,0.400000,0.400000,0.295847,0.296098,0.296113,0.295785,0.295781,
0.146983,0.400000,0.400000,0.309653,0.309904,0.309920,0.309596,0.309591,
0.115721,0.400000,0.400000,0.289605,0.289853,0.289869,0.289551,0.289554,
0.048580,0.400000,0.400000,0.261898,0.262144,0.262160,0.261841,0.261849,
0.039470,0.400000,0.400000,0.266564,0.266813,0.266828,0.266500,0.266506,
0.099651,0.400000,0.400000,0.295830,0.296081,0.296096,0.295768,0.295764,
0.146997,0.400000,0.400000,0.309671,0.309922,0.309939,0.309614,0.309609,
0.115771,0.400000,0.400000,0.289629,0.289877,0.289894,0.289575,0.289578,
0.048513,0.400000,0.400000,0.261872,0.262118,0.262133,0.261814,0.261823,
0.039330,0.400000,0.400000,0.266507,0.266756,0.266772,0.266444,0.266450,
0.099478,0.400000,0.400000,0.295771,0.296021,0.296038,0.295709,0.295705,
0.146869,0.400000,0.400000,0.309641,0.309890,0.309907,0.309583,0.309578,
0.115722,0.400000,0.400000,0.289625,0.289874,0.289890,0.289571,0.289575,
0.048479,0.400000,0.400000,0.261868,0.262114,0.262131,0.261810,0.261820,
0.039234,0.400000,0.400000,0.266471,0.266720,0.266735,0.266407,0.266414,
0.099340,0.400000,0.400000,0.295716,0.295966,0.295982,0.295654,0.295650,
0.146768,0.400000,0.400000,0.309604,0.309853,0.309870,0.309546,0.309541,
0.115723,0.400000,0.400000,0.289636,0.289884,0.289901,0.289582,0.289585,
0.048484,0.400000,0.400000,0.261868,0.262115,0.262131,0.261811,0.261820,
0.039179,0.400000,0.400000,0.266435,0.266685,0.266700,0.266372,0.266378,
0.099226,0.400000,0.400000,0.295588,0.295839,0.295854,0.295526,0.295523,
0.146729,0.400000,0.400000,0.309571,0.309822,0.309839,0.309514,0.309510,
0.115744,0.400000,0.400000,0.289649,0.289897,0.289914,0.289595,0.289598,
0.048475,0.400000,0.400000,0.261859,0.262105,0.262122,0.261802,0.261811,
0.039085,0.400000,0.400000,0.266396,0.266644,0.266661,0.266332,0.266339,
0.099120,0.400000,0.400000,0.295630,0.295880,0.295896,0.295567,0.295564,
0.146671,0.400000,0.400000,0.309586,0.309836,0.309853,0.309530,0.309525,
0.115757,0.400000,0.400000,0.289662,0.289909,0.289926,0.289608,0.289611,
0.048477,0.400000,0.400000,0.261862,0.262109,0.262124,0.261807,0.261814,
0.039046,0.400000,0.400000,0.266376,0.266625,0.266640,0.266313,0.266319,
0.099058,0.400000,0.400000,0.295608,0.295858,0.295873,0.295545,0.295541,
0.146647,0.400000,0.400000,0.309585,0.309835,0.309851,0.309528,0.309523,
0.115783,0.400000,0.400000,0.289674,0.289921,0.289938,0.289620,0.289623,
0.048514,0.400000,0.400000,0.261869,0.262115,0.262130,0.261812,0.261820,
0.039012,0.400000,0.400000,0.266352,0.266600,0.266616,0.266288,0.266294,
0.098989,0.400000,0.400000,0.295580,0.295831,0.295846,0.295517,0.295514,
0.146633,0.400000,0.400000,0.309590,0.309840,0.309857,0.309533,0.309528,
0.115834,0.400000,0.400000,0.289704,0.289951,0.289968,0.289650,0.289653,
0.048548,0.400000,0.400000,0.261886,0.262132,0.262148,0.261829,0.261838,
0.038964,0.400000,0.400000,0.266331,0.266581,0.266596,0.266268,0.266275,
0.098881,0.400000,0.400000,0.295540,0.295790,0.295806,0.295476,0.295474,
0.146561,0.400000,0.400000,0.309569,0.309818,0.309836,0.309511,0.309506,
0.115850,0.400000,0.400000,0.289719,0.289967,0.289985,0.289665,0.289669,
